Title,Content,newsType,time
Govt struggles with 'tech-savvy' protesters,"The government is struggling to deal with demonstrators who make the most use of information and communication technologies and social media platforms in their campaign,",POLITICS,25 Oct 2020
Protesters plan action after PM ignores deadline to quit,Anti-government protesters will hold demonstrations on Sunday and Monday after Prime Minister Prayut Chan-o-cha ignored their 10pm deadline to resign.,POLITICS,25 Oct 2020
Hong Kong students pledge loyalty to Thai protesters,Hong Kong students have pledged support for the pro-democracy movement in Thailand after the recent wave of anti-government protests has rocked the capital for over a week.,POLITICS,25 Oct 2020
Prayut shows no sign of leaving his post,"As Prime Minister Prayut Chan-o-cha showed no sign of resigning from his position last night, as demanded by anti-government protesters, they are now preparing to make additional moves against the premier.",POLITICS,25 Oct 2020
iLaw charter draft set for House scrutiny,"A charter amendment bill proposed by civil group iLaw is likely to be put on the agenda and scrutinised along with the other six similar bills next month, according to a close aide to Parliament President Chuan Leekpai.",POLITICS,24 Oct 2020
Ongoing dispute threatens improving business confidence,Protests hit confidence,POLITICS,24 Oct 2020
Army chief shows gesture of support for Prayut,The army chief sends a supportive message about the prime minister as yellow-clad crowds rally in several provinces to defend the monarchy.,POLITICS,23 Oct 2020
Democracy movement vows fresh protests after PM snub,"Prominent protest leaders vowed to return to streets Sunday to protest against PM Prayut Chan-o-cha, after their deadline for him to resign was ignored.",POLITICS,25 Oct 2020
People want govt to negotiate with protesters: poll,"Most people think government should seek immediate negotiations with protesters, says Suan Dusit Poll.",POLITICS,25 Oct 2020
Most people worried by ongoing protests: poll,"A majority of people are worried by the ongoing anti-government protests by the People's Group, saying they fear possible interference by third parties to inflame the situation, according to the result of an opinion survey by the National Institute of Development Administration, or Nida Poll.",POLITICS,25 Oct 2020
Govt struggles with 'tech-savvy' protesters,"The government is struggling to deal with demonstrators who make the most use of information and communication technologies and social media platforms in their campaign,",POLITICS,25 Oct 2020
Protesters plan action after PM ignores deadline to quit,Anti-government protesters will hold demonstrations on Sunday and Monday after Prime Minister Prayut Chan-o-cha ignored their 10pm deadline to resign.,POLITICS,25 Oct 2020
Hong Kong students pledge loyalty to Thai protesters,Hong Kong students have pledged support for the pro-democracy movement in Thailand after the recent wave of anti-government protests has rocked the capital for over a week.,POLITICS,25 Oct 2020
Prayut shows no sign of leaving his post,"As Prime Minister Prayut Chan-o-cha showed no sign of resigning from his position last night, as demanded by anti-government protesters, they are now preparing to make additional moves against the premier.",POLITICS,25 Oct 2020
iLaw charter draft set for House scrutiny,"A charter amendment bill proposed by civil group iLaw is likely to be put on the agenda and scrutinised along with the other six similar bills next month, according to a close aide to Parliament President Chuan Leekpai.",POLITICS,24 Oct 2020
Ongoing dispute threatens improving business confidence,Protests hit confidence,POLITICS,24 Oct 2020
Army chief shows gesture of support for Prayut,The army chief sends a supportive message about the prime minister as yellow-clad crowds rally in several provinces to defend the monarchy.,POLITICS,23 Oct 2020
'CIA'-like street-food vendors first on rally scene,"With an intelligence network so good they have been compared to the CIA, street vendors are often first on the scene at ""guerilla"" democracy protests in Bangkok, where they hawk sour pork and fishballs to a democracy-hungry crowd.",POLITICS,23 Oct 2020
Uni defends art display,"Chiang Mai University on Thursday rejected a bid to remove the Sculpture of Light, an art display bearing the likeness of His Majesty King Bhumibol Adulyadej The Great.",POLITICS,23 Oct 2020
Parliament readies for crisis session,Parliament president Chuan Leekpai on Thursday chaired a meeting to prepare for a two-day extraordinary joint session to discuss ways to defuse the ongoing political crisis.,POLITICS,23 Oct 2020
Prayut lifts state of emergency,"Prime Minister Prayut Chan-o-cha on Thursday lifted the state of serious emergency and other related orders in Bangkok, one week after they were imposed to tackle anti-government protests.",POLITICS,23 Oct 2020
PPRP MPs to hold royalist activities,The ruling Palang Pracharath Party will ask its MPs to organise activities in their constituencies to show loyalty to the monarchy.,POLITICS,22 Oct 2020
State of emergency ends in Bangkok,"Prime Minister Prayut Chan-o-cha lifts the state of severe emergency he declared in Bangkok, effective from noon on Thursday.",POLITICS,22 Oct 2020
State of emergency lifted in Bangkok,"The government on Thursday ordered the removal of emergency measures imposed last week in a bid to end months of protests against Prime Minister Prayuth Chan-ocha and the monarchy, a statement said.",POLITICS,22 Oct 2020
"Pro-democracy activist Passaravalee arrested, bailed",Pro-democracy activist Passaravalee Thanakijvibulphol was released on bail by the Pathumwan court on Thursday after being arrested near Victory Monument on Wednesday night.,POLITICS,22 Oct 2020
Crowds rally in provinces in support of monarchy,Crowds estimated to number in the tens of thousands led by local administrators gathered in several provinces around the country on Wednesday in a show of loyalty to the monarchy.,POLITICS,22 Oct 2020
Uni deans say decree 'unlawful',Deans from four leading universities on Wednesday urged the House of Representatives to use a parliamentary mechanism to resolve the current political crisis and the government to lift the state of emergency.,POLITICS,22 Oct 2020
'CIA'-like street-food vendors first on rally scene,"With an intelligence network so good they have been compared to the CIA, street vendors are often first on the scene at ""guerilla"" democracy protests in Bangkok, where they hawk sour pork and fishballs to a democracy-hungry crowd.",POLITICS,23 Oct 2020
Uni defends art display,"Chiang Mai University on Thursday rejected a bid to remove the Sculpture of Light, an art display bearing the likeness of His Majesty King Bhumibol Adulyadej The Great.",POLITICS,23 Oct 2020
Parliament readies for crisis session,Parliament president Chuan Leekpai on Thursday chaired a meeting to prepare for a two-day extraordinary joint session to discuss ways to defuse the ongoing political crisis.,POLITICS,23 Oct 2020
Prayut lifts state of emergency,"Prime Minister Prayut Chan-o-cha on Thursday lifted the state of serious emergency and other related orders in Bangkok, one week after they were imposed to tackle anti-government protests.",POLITICS,23 Oct 2020
PPRP MPs to hold royalist activities,The ruling Palang Pracharath Party will ask its MPs to organise activities in their constituencies to show loyalty to the monarchy.,POLITICS,22 Oct 2020
State of emergency ends in Bangkok,"Prime Minister Prayut Chan-o-cha lifts the state of severe emergency he declared in Bangkok, effective from noon on Thursday.",POLITICS,22 Oct 2020
State of emergency lifted in Bangkok,"The government on Thursday ordered the removal of emergency measures imposed last week in a bid to end months of protests against Prime Minister Prayuth Chan-ocha and the monarchy, a statement said.",POLITICS,22 Oct 2020
"Pro-democracy activist Passaravalee arrested, bailed",Pro-democracy activist Passaravalee Thanakijvibulphol was released on bail by the Pathumwan court on Thursday after being arrested near Victory Monument on Wednesday night.,POLITICS,22 Oct 2020
Crowds rally in provinces in support of monarchy,Crowds estimated to number in the tens of thousands led by local administrators gathered in several provinces around the country on Wednesday in a show of loyalty to the monarchy.,POLITICS,22 Oct 2020
Uni deans say decree 'unlawful',Deans from four leading universities on Wednesday urged the House of Representatives to use a parliamentary mechanism to resolve the current political crisis and the government to lift the state of emergency.,POLITICS,22 Oct 2020
"United we stand, says coalition party leader","Bhumjaithai Party leader Anutin Charnvirakul insists his party will not abandon the government, despite the protesters' call for Prime Minister Prayut Chan-o-cha to resign.",POLITICS,22 Oct 2020
PM offers end to 'emergency',Prime Minister Prayut Chan-o-cha on Wednesday night suggested everyone take a step back in the conflict between the government and anti-government movement.,POLITICS,22 Oct 2020
Court does U-turn on media closures,"The Criminal Court on Wednesday lifted its order for the closure of online platforms of four media outlets and an anti-government movement, including VoiceTV, saying only illegal content should have been blocked.",POLITICS,22 Oct 2020
Prayut will lift Bangkok emergency 'if rallies stay peaceful',Prime Minister Prayut Chan-o-cha said his government is prepared to withdraw emergency rules banning large gatherings in the capital if the mounting protests demanding his ouster and monarchy reforms remain peaceful.,POLITICS,21 Oct 2020
Media closure order lifted,"Criminal Court lifts its order closing the online platforms of four media outlets and an anti-government movement, saying the digital ministry provided incorrect information.",POLITICS,21 Oct 2020
Anti-Prayut protesters march to Govt House as police build barricade,Anti-govt protesters move from Victory Monument towards Government House as riot police build barricade; yellow-shirts scuffle with Ramkhamhaeng students.,POLITICS,21 Oct 2020
Protesters use emojis to stay ahead of police,"In Thailand’s democracy, emojis and retweets are becoming the new ballots.",POLITICS,21 Oct 2020
Royalists' show of force,Crowds estimated to number in the tens of thousands led by local administrators gathered in several in provinces on Wednesday in a show of loyalty to the royal institution.,POLITICS,21 Oct 2020
Royalists urged to speak out,Royalist groups have called on their supporters to show greater support for the monarchy.,POLITICS,21 Oct 2020
Govt told 'to stop the use of violence',"About 50 lecturers and students from the Thai Academic Network for Civil Rights (TANC) on Tuesday submitted a petition, signed by 1,118 lecturers from various universities, to Prime Minister Prayut Chan-o-cha calling on the government to stop using violence against protesters.",POLITICS,21 Oct 2020
"United we stand, says coalition party leader","Bhumjaithai Party leader Anutin Charnvirakul insists his party will not abandon the government, despite the protesters' call for Prime Minister Prayut Chan-o-cha to resign.",POLITICS,22 Oct 2020
PM offers end to 'emergency',Prime Minister Prayut Chan-o-cha on Wednesday night suggested everyone take a step back in the conflict between the government and anti-government movement.,POLITICS,22 Oct 2020
Court does U-turn on media closures,"The Criminal Court on Wednesday lifted its order for the closure of online platforms of four media outlets and an anti-government movement, including VoiceTV, saying only illegal content should have been blocked.",POLITICS,22 Oct 2020
Prayut will lift Bangkok emergency 'if rallies stay peaceful',Prime Minister Prayut Chan-o-cha said his government is prepared to withdraw emergency rules banning large gatherings in the capital if the mounting protests demanding his ouster and monarchy reforms remain peaceful.,POLITICS,21 Oct 2020
Media closure order lifted,"Criminal Court lifts its order closing the online platforms of four media outlets and an anti-government movement, saying the digital ministry provided incorrect information.",POLITICS,21 Oct 2020
Anti-Prayut protesters march to Govt House as police build barricade,Anti-govt protesters move from Victory Monument towards Government House as riot police build barricade; yellow-shirts scuffle with Ramkhamhaeng students.,POLITICS,21 Oct 2020
Protesters use emojis to stay ahead of police,"In Thailand’s democracy, emojis and retweets are becoming the new ballots.",POLITICS,21 Oct 2020
Royalists' show of force,Crowds estimated to number in the tens of thousands led by local administrators gathered in several in provinces on Wednesday in a show of loyalty to the royal institution.,POLITICS,21 Oct 2020
Royalists urged to speak out,Royalist groups have called on their supporters to show greater support for the monarchy.,POLITICS,21 Oct 2020
Govt told 'to stop the use of violence',"About 50 lecturers and students from the Thai Academic Network for Civil Rights (TANC) on Tuesday submitted a petition, signed by 1,118 lecturers from various universities, to Prime Minister Prayut Chan-o-cha calling on the government to stop using violence against protesters.",POLITICS,21 Oct 2020
"You can observe rallies, envoys told","Foreign diplomats are allowed to observe the political protests but they must inform the Ministry of Foreign Affairs in advance, spokesman Tanee Sangrat said.",POLITICS,21 Oct 2020
Cabinet gives nod for parliament to convene early,The cabinet on Tuesday backed a proposal to convene a special parliamentary session to discuss ways to defuse the ongoing political conflict arising from anti-government protests.,POLITICS,21 Oct 2020
Warrant out for protester,"The Criminal Court on Tuesday approved an arrest warrant against another anti-government protester on a charge of intending to do harm to Her Majesty the Queen's liberty, according to the Royal Thai Police.",POLITICS,21 Oct 2020
Prayut doubles down on media,PM Prayut Chan-o-cha has told authorities to take no chances in censorship scrutiny of broadcast and online content that could be deemed to violate the state of emergency.,POLITICS,21 Oct 2020
Free Youth protesters hit pause,Free Youth takes a break on Tuesday and urges its supporters to show up at BTS and MRT stations near them to flash a three-fingered salute and then leave.,POLITICS,20 Oct 2020
Piyabutr proposes House committee on reforming the monarchy,"Piyabutr Saengkanokkul, secretary-general of the Progressive Movement, has called for the House of Representatives to set up a committee on reform of the monarchy, saying it could serve as a safe zone for discussing this sensitive matter.",POLITICS,20 Oct 2020
Court asked to revoke state of emergency,"The opposition Pheu Thai Party on Tuesday asked the Civil Court to annul Prime Minister Prayut Can-o-cha's order invoking a state of emergency and banning public gatherings in Bangkok, saying it violated people's rights.",POLITICS,20 Oct 2020
Court orders ban on some VoiceTV content,The Criminal Court orders blockage of some content of VoiceTV from all its online channels as requested by the Digital Economy Ministry but its effectiveness remains unclear.,POLITICS,20 Oct 2020
Cabinet agrees special parliament amid protests,The Cabinet has backed a proposal from lawmakers to convene a special session of the parliament to discuss anti-government protests that have swept the nation’s capital and other major cities in the past week.,POLITICS,20 Oct 2020
"Lecturers, students petition PM against use of violence","About 50 lecturers and students of the Thai Academic Network for Civil Rights (TANC) on Tuesday morning submitted a petition, signed by 1,118 lecturers from various universities, to Prime Minister Prayut Chan-o-cha asking the government to stop using violence against protesters.",POLITICS,20 Oct 2020
"You can observe rallies, envoys told","Foreign diplomats are allowed to observe the political protests but they must inform the Ministry of Foreign Affairs in advance, spokesman Tanee Sangrat said.",POLITICS,21 Oct 2020
Cabinet gives nod for parliament to convene early,The cabinet on Tuesday backed a proposal to convene a special parliamentary session to discuss ways to defuse the ongoing political conflict arising from anti-government protests.,POLITICS,21 Oct 2020
Warrant out for protester,"The Criminal Court on Tuesday approved an arrest warrant against another anti-government protester on a charge of intending to do harm to Her Majesty the Queen's liberty, according to the Royal Thai Police.",POLITICS,21 Oct 2020
Prayut doubles down on media,PM Prayut Chan-o-cha has told authorities to take no chances in censorship scrutiny of broadcast and online content that could be deemed to violate the state of emergency.,POLITICS,21 Oct 2020
Free Youth protesters hit pause,Free Youth takes a break on Tuesday and urges its supporters to show up at BTS and MRT stations near them to flash a three-fingered salute and then leave.,POLITICS,20 Oct 2020
Piyabutr proposes House committee on reforming the monarchy,"Piyabutr Saengkanokkul, secretary-general of the Progressive Movement, has called for the House of Representatives to set up a committee on reform of the monarchy, saying it could serve as a safe zone for discussing this sensitive matter.",POLITICS,20 Oct 2020
Court asked to revoke state of emergency,"The opposition Pheu Thai Party on Tuesday asked the Civil Court to annul Prime Minister Prayut Can-o-cha's order invoking a state of emergency and banning public gatherings in Bangkok, saying it violated people's rights.",POLITICS,20 Oct 2020
Court orders ban on some VoiceTV content,The Criminal Court orders blockage of some content of VoiceTV from all its online channels as requested by the Digital Economy Ministry but its effectiveness remains unclear.,POLITICS,20 Oct 2020
Cabinet agrees special parliament amid protests,The Cabinet has backed a proposal from lawmakers to convene a special session of the parliament to discuss anti-government protests that have swept the nation’s capital and other major cities in the past week.,POLITICS,20 Oct 2020
"Lecturers, students petition PM against use of violence","About 50 lecturers and students of the Thai Academic Network for Civil Rights (TANC) on Tuesday morning submitted a petition, signed by 1,118 lecturers from various universities, to Prime Minister Prayut Chan-o-cha asking the government to stop using violence against protesters.",POLITICS,20 Oct 2020
Opposition moves to have decree rescinded,Pheu Thai MPs and a group of activists will petition the Civil Court to revoke enforcement of the emergency decree imposed to deal with anti-government demonstrations in Bangkok.,POLITICS,20 Oct 2020
Media groups warn govt,Media organisations and academics have called on the government not to violate the freedom of the press.,POLITICS,20 Oct 2020
"'Rung', 'Penguin' freed on bail","A court grants bail for three protesters, including leaders Panusaya ""Rung"" Sithijirawattanakul and Parit ""Penguin"" Chiwarak.",POLITICS,19 Oct 2020
Protest parallels in Thailand and Hong Kong,"Hong Kong and Thailand have both seen their streets filled with protesters daring to take on an entrenched political elite, and to discuss once-taboo subjects in their push for greater freedoms.",POLITICS,19 Oct 2020
Kaset intersection rally ends peacefully,"A large crowd of mostly young people showed up at Kasetsart intersection in Bangkok, one of the three locations where rallies were held in the capital on Monday, before dispersing peacefully at 7.15pm.",POLITICS,19 Oct 2020
Cabinet to consider recalling parliament to defuse political crisis,The cabinet will on Tuesday consider recalling the parliament to defuse the political crisis - a move backed by Prime Minister Prayut Chan-o-cha.,POLITICS,19 Oct 2020
Hong Kong activists rally in support of Thai protesters,HONG KONG: A small group of Hong Kong pro-democracy activists rallied outside the Thai consulate in the Asian financial hub on Monday to show solidarity with protesters in Thailand demonstrating against the government and monarchy.,POLITICS,19 Oct 2020
Chuan to request special meeting of parliament,"After a meeting with all party leaders, House Speaker Chuan will request the government to call a special meeting of parliament to debate the escalating political crisis.",POLITICS,19 Oct 2020
"Police move to silence news, Facebook platforms",Police ordering broadcasting authorities to shut down four news outlets and the protest organisers' Facebook page - citing a threat to national security.,POLITICS,19 Oct 2020
Fight turns to social media app,"Free Youth and the United Front for Thammasat and Demonstration (UFTD) on Sunday asked their social media followers to switch to communicating with them through Telegram, a messaging application, following rumours the government would ask Facebook to take the groups' pages down.",POLITICS,19 Oct 2020
Opposition moves to have decree rescinded,Pheu Thai MPs and a group of activists will petition the Civil Court to revoke enforcement of the emergency decree imposed to deal with anti-government demonstrations in Bangkok.,POLITICS,20 Oct 2020
Media groups warn govt,Media organisations and academics have called on the government not to violate the freedom of the press.,POLITICS,20 Oct 2020
"'Rung', 'Penguin' freed on bail","A court grants bail for three protesters, including leaders Panusaya ""Rung"" Sithijirawattanakul and Parit ""Penguin"" Chiwarak.",POLITICS,19 Oct 2020
Protest parallels in Thailand and Hong Kong,"Hong Kong and Thailand have both seen their streets filled with protesters daring to take on an entrenched political elite, and to discuss once-taboo subjects in their push for greater freedoms.",POLITICS,19 Oct 2020
Kaset intersection rally ends peacefully,"A large crowd of mostly young people showed up at Kasetsart intersection in Bangkok, one of the three locations where rallies were held in the capital on Monday, before dispersing peacefully at 7.15pm.",POLITICS,19 Oct 2020
Cabinet to consider recalling parliament to defuse political crisis,The cabinet will on Tuesday consider recalling the parliament to defuse the political crisis - a move backed by Prime Minister Prayut Chan-o-cha.,POLITICS,19 Oct 2020
Hong Kong activists rally in support of Thai protesters,HONG KONG: A small group of Hong Kong pro-democracy activists rallied outside the Thai consulate in the Asian financial hub on Monday to show solidarity with protesters in Thailand demonstrating against the government and monarchy.,POLITICS,19 Oct 2020
Chuan to request special meeting of parliament,"After a meeting with all party leaders, House Speaker Chuan will request the government to call a special meeting of parliament to debate the escalating political crisis.",POLITICS,19 Oct 2020
"Police move to silence news, Facebook platforms",Police ordering broadcasting authorities to shut down four news outlets and the protest organisers' Facebook page - citing a threat to national security.,POLITICS,19 Oct 2020
Fight turns to social media app,"Free Youth and the United Front for Thammasat and Demonstration (UFTD) on Sunday asked their social media followers to switch to communicating with them through Telegram, a messaging application, following rumours the government would ask Facebook to take the groups' pages down.",POLITICS,19 Oct 2020
House mulls meet to end unrest,House Speaker Chuan Leekpai will meet government and opposition representatives on Friday to discuss the possibility of holding a special parliamentary session.,POLITICS,19 Oct 2020
Prayut softens tone as rallies spread nationwide,"As rallies against the government spread across the country, Prime Minister Prayut Chan-o-cha appears to tone down his rhetoric on the protests.",POLITICS,18 Oct 2020
'Their voice is vital' - Thai celebs break silence on democracy protests,"A K-pop superstar, beauty queens and TV personalities are among a growing wave of celebrities backing Thailand's pro-democracy movement, sending out messages of support to millions of followers on social media.",POLITICS,18 Oct 2020
Correction to story 'Protesters hit Bangkok train stations',"In the article “Protesters hit Bangkok train stations” published in the print edition of the Bangkok Post on Oct 18, it was incorrectly stated that “anti-government protesters yesterday broke into smaller groups around Bangkok, utilising a new tactic that disrupted the capital’s key public transport services, including its entire electric rail system”.",POLITICS,18 Oct 2020
"Mass protests end peacefully at Victory Monument, Asok","Sunday's anti-establishment protests centre on Bangkok's Victory Monument, with supporting rallies at Asok intersection and 19 other locations around the country.",POLITICS,18 Oct 2020
Majority want independent PAO chief: poll,"A large majority of people believe provincial administration organisation (PAO) chairmen should be independent and not affiliated with a political party or political group, according to an opinion survey by the National Institute of Development Administration, or Nida Poll.",POLITICS,18 Oct 2020
House 'must step in to end crisis',A university academic is calling on parliament to step in to end the political crisis as a former premier calls for the resignation of Prime Minister Prayut Chan-o-cha.,POLITICS,18 Oct 2020
Varawut hoses down calls to quit govt coalition,"Natural Resources and Environment Minister Varawut Silpa-archa on Saturday brushed off calls to pull out of the coalition government following the dispersal of anti-government protesters on Friday night, saying the issue would have to be addressed by the party first.",POLITICS,18 Oct 2020
"Parliament takeover story a hoax, army says","Army chief Gen Narongphan Jitkaewtae on Saturday followed up on the protest situation and dismissed a report on social media claiming the army had seized parliament, an army source says.",POLITICS,18 Oct 2020
Police insist water cannons did not fire harmful chemicals,"Police have defended the dispersal of anti-government demonstrators at the Pathumwan intersection in Bangkok on Friday night, saying they followed international standards for crowd control and that water sprayed from cannons did not contain dangerous chemicals.",POLITICS,18 Oct 2020
"Anti-govt activist released on bail, but told 'don't do it again'",The Criminal Court on Saturday granted bail to one of two anti-government activists charged with intending to do harm against Her Majesty the Queen's liberty.,POLITICS,18 Oct 2020
Bail granted for one in royal motorcade case,The Criminal Court has granted bail to one of two anti-government activists charged with causing harm to Her Majesty the Queen’s liberty.,POLITICS,17 Oct 2020
Cabinet gives nod for MRT land appropriation bills,"The cabinet has in principle approved eight draft land appropriation bills that would allow the Mass Rapid Transit Authority of Thailand (MRTA) to improve the accessibility of public transportation for the general public, especially those with disabilities, if passed.",POLITICS,17 Oct 2020
Water cannon blast rally,Police used water cannon to disperse anti-government demonstrators in central Bangkok on Friday evening as Prime Minister Prayut Chan-o-cha insisted he will not bow to pressure from student-led protesters and resign.,POLITICS,17 Oct 2020
Media warned about coverage,"Assistant national police chief Pol Lt Gen Jaruwat Waisaya on Friday warned the media not to spread ""misinformation"" about the ongoing student-led pro-democracy protests.",POLITICS,17 Oct 2020
Police raid Progressive Movement,"Four police officers burst into the Progressive Movement offices yesterday afternoon with a search warrant, interrupting a press conference called by Piyabutr Saengkanokkul, the political movement's co-founder.",POLITICS,17 Oct 2020
Going a demand too far?,"The youth-led, anti-government protest organisers timed their mass rally this week to coincide with the 47th anniversary of the Oct 14, 1973 student uprising.",POLITICS,17 Oct 2020
Police interrupt Progressive Movement press conference,"Four police officers appeared at the Progressive Movement office on Friday afternoon with a search warrant, interrupting a press conference called by Piyabutr Saengkanokkul.",POLITICS,16 Oct 2020
"Police: Demonstrators, online offenders will be arrested","Police have warned that people will be arrested if they take part in demonstrations prohibited by the state of emergency, or if they post illegal messages online.",POLITICS,16 Oct 2020
"Cabinet confirms state of emergency, curfew if protests escalate","Cabinet approves a month-long state of emergency in Bangkok, and the prime minister warns of a curfew if the anti-government protests escalate.",POLITICS,16 Oct 2020
"Anti-govt activist released on bail, but told 'don't do it again'",The Criminal Court on Saturday granted bail to one of two anti-government activists charged with intending to do harm against Her Majesty the Queen's liberty.,POLITICS,18 Oct 2020
Bail granted for one in royal motorcade case,The Criminal Court has granted bail to one of two anti-government activists charged with causing harm to Her Majesty the Queen’s liberty.,POLITICS,17 Oct 2020
Cabinet gives nod for MRT land appropriation bills,"The cabinet has in principle approved eight draft land appropriation bills that would allow the Mass Rapid Transit Authority of Thailand (MRTA) to improve the accessibility of public transportation for the general public, especially those with disabilities, if passed.",POLITICS,17 Oct 2020
Water cannon blast rally,Police used water cannon to disperse anti-government demonstrators in central Bangkok on Friday evening as Prime Minister Prayut Chan-o-cha insisted he will not bow to pressure from student-led protesters and resign.,POLITICS,17 Oct 2020
Media warned about coverage,"Assistant national police chief Pol Lt Gen Jaruwat Waisaya on Friday warned the media not to spread ""misinformation"" about the ongoing student-led pro-democracy protests.",POLITICS,17 Oct 2020
Police raid Progressive Movement,"Four police officers burst into the Progressive Movement offices yesterday afternoon with a search warrant, interrupting a press conference called by Piyabutr Saengkanokkul, the political movement's co-founder.",POLITICS,17 Oct 2020
Going a demand too far?,"The youth-led, anti-government protest organisers timed their mass rally this week to coincide with the 47th anniversary of the Oct 14, 1973 student uprising.",POLITICS,17 Oct 2020
Police interrupt Progressive Movement press conference,"Four police officers appeared at the Progressive Movement office on Friday afternoon with a search warrant, interrupting a press conference called by Piyabutr Saengkanokkul.",POLITICS,16 Oct 2020
"Police: Demonstrators, online offenders will be arrested","Police have warned that people will be arrested if they take part in demonstrations prohibited by the state of emergency, or if they post illegal messages online.",POLITICS,16 Oct 2020
"Cabinet confirms state of emergency, curfew if protests escalate","Cabinet approves a month-long state of emergency in Bangkok, and the prime minister warns of a curfew if the anti-government protests escalate.",POLITICS,16 Oct 2020
House mulls meet to end unrest,House Speaker Chuan Leekpai will meet government and opposition representatives on Friday to discuss the possibility of holding a special parliamentary session.,POLITICS,19 Oct 2020
Prayut softens tone as rallies spread nationwide,"As rallies against the government spread across the country, Prime Minister Prayut Chan-o-cha appears to tone down his rhetoric on the protests.",POLITICS,18 Oct 2020
'Their voice is vital' - Thai celebs break silence on democracy protests,"A K-pop superstar, beauty queens and TV personalities are among a growing wave of celebrities backing Thailand's pro-democracy movement, sending out messages of support to millions of followers on social media.",POLITICS,18 Oct 2020
Correction to story 'Protesters hit Bangkok train stations',"In the article “Protesters hit Bangkok train stations” published in the print edition of the Bangkok Post on Oct 18, it was incorrectly stated that “anti-government protesters yesterday broke into smaller groups around Bangkok, utilising a new tactic that disrupted the capital’s key public transport services, including its entire electric rail system”.",POLITICS,18 Oct 2020
"Mass protests end peacefully at Victory Monument, Asok","Sunday's anti-establishment protests centre on Bangkok's Victory Monument, with supporting rallies at Asok intersection and 19 other locations around the country.",POLITICS,18 Oct 2020
Majority want independent PAO chief: poll,"A large majority of people believe provincial administration organisation (PAO) chairmen should be independent and not affiliated with a political party or political group, according to an opinion survey by the National Institute of Development Administration, or Nida Poll.",POLITICS,18 Oct 2020
House 'must step in to end crisis',A university academic is calling on parliament to step in to end the political crisis as a former premier calls for the resignation of Prime Minister Prayut Chan-o-cha.,POLITICS,18 Oct 2020
Varawut hoses down calls to quit govt coalition,"Natural Resources and Environment Minister Varawut Silpa-archa on Saturday brushed off calls to pull out of the coalition government following the dispersal of anti-government protesters on Friday night, saying the issue would have to be addressed by the party first.",POLITICS,18 Oct 2020
"Parliament takeover story a hoax, army says","Army chief Gen Narongphan Jitkaewtae on Saturday followed up on the protest situation and dismissed a report on social media claiming the army had seized parliament, an army source says.",POLITICS,18 Oct 2020
Police insist water cannons did not fire harmful chemicals,"Police have defended the dispersal of anti-government demonstrators at the Pathumwan intersection in Bangkok on Friday night, saying they followed international standards for crowd control and that water sprayed from cannons did not contain dangerous chemicals.",POLITICS,18 Oct 2020
"Anti-govt activist released on bail, but told 'don't do it again'",The Criminal Court on Saturday granted bail to one of two anti-government activists charged with intending to do harm against Her Majesty the Queen's liberty.,POLITICS,18 Oct 2020
Bail granted for one in royal motorcade case,The Criminal Court has granted bail to one of two anti-government activists charged with causing harm to Her Majesty the Queen’s liberty.,POLITICS,17 Oct 2020
Cabinet gives nod for MRT land appropriation bills,"The cabinet has in principle approved eight draft land appropriation bills that would allow the Mass Rapid Transit Authority of Thailand (MRTA) to improve the accessibility of public transportation for the general public, especially those with disabilities, if passed.",POLITICS,17 Oct 2020
Water cannon blast rally,Police used water cannon to disperse anti-government demonstrators in central Bangkok on Friday evening as Prime Minister Prayut Chan-o-cha insisted he will not bow to pressure from student-led protesters and resign.,POLITICS,17 Oct 2020
Media warned about coverage,"Assistant national police chief Pol Lt Gen Jaruwat Waisaya on Friday warned the media not to spread ""misinformation"" about the ongoing student-led pro-democracy protests.",POLITICS,17 Oct 2020
Police raid Progressive Movement,"Four police officers burst into the Progressive Movement offices yesterday afternoon with a search warrant, interrupting a press conference called by Piyabutr Saengkanokkul, the political movement's co-founder.",POLITICS,17 Oct 2020
Going a demand too far?,"The youth-led, anti-government protest organisers timed their mass rally this week to coincide with the 47th anniversary of the Oct 14, 1973 student uprising.",POLITICS,17 Oct 2020
Police interrupt Progressive Movement press conference,"Four police officers appeared at the Progressive Movement office on Friday afternoon with a search warrant, interrupting a press conference called by Piyabutr Saengkanokkul.",POLITICS,16 Oct 2020
"Police: Demonstrators, online offenders will be arrested","Police have warned that people will be arrested if they take part in demonstrations prohibited by the state of emergency, or if they post illegal messages online.",POLITICS,16 Oct 2020
"Cabinet confirms state of emergency, curfew if protests escalate","Cabinet approves a month-long state of emergency in Bangkok, and the prime minister warns of a curfew if the anti-government protests escalate.",POLITICS,16 Oct 2020
Two arrested on motorcade charges,Police arrest two demonstrators on charges of causing harm to the Queen during her motorcade through the protest outside Government House on Wednesday,POLITICS,16 Oct 2020
Cabinet meeting to move to Phuket,Preparations are underway for a mobile cabinet meeting which will be held in Phuket next month.,POLITICS,16 Oct 2020
Loss of protest leaders 'critical',The anti-government rally reflects structural conflicts while the anti-government movement is expected to weaken now several protest leaders have been arrested.,POLITICS,16 Oct 2020
Cops seek motorcade pair,The Criminal Court on Thursday issued arrest warrants for two political activists suspected of intending to harm Her Majesty the Queen's liberty.,POLITICS,16 Oct 2020
